Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Joint1,-0.0612969161199989,-0.0208110471960751,-0.00368566958444174,0,0,0,0.509220112347729,0.0130737320923455,9.45756252899026E-11,-1.48811108482286E-05,0.0130795076292887,-4.67801496593558E-11,0.000230266745105746,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/Joint1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/Joint1.STL,,Pipe-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Joint2,-0.0226040077206507,-1.2490009027033E-16,-2.08166817117217E-17,0,0,0,0.0292003183169538,2.66087900663241E-06,-1.82047389576919E-20,9.71278719685466E-39,7.65960849851593E-06,-7.56029715497403E-39,7.65960849851593E-06,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/Joint2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/Joint2.STL,,Valve Handle-4,Origin_Joint2,Axis_Joint22,Joint2,fixed,0,-0.0208110485691569,0.0701492821564897,1.5707963267949,0,0,Joint1,1,0,0,0,0,0,1.5708,,,,,,,,
joint3,-0.0098266311138373,-4.78783679369599E-16,0.0394973851429148,0,0,0,0.0244780463145089,4.8921091480238E-05,1.09320733411926E-20,-7.13368201305606E-07,4.85761024631166E-05,4.78440318615536E-19,2.65296409921423E-06,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/joint3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lever Action Valve_17/meshes/joint3.STL,,Valve Body-5,Origin_joint3,Axis_joint32,joint3,revolute,0,0,0,-1.5708,0,0,Joint2,1,0,0,0,0,-1.570796,0,,,,,,,,
